Pedal Name,Pedal Type,Manufacturer
Elektra Clone,Fuzzstortion,ollieMAX! Pedals
Sputnik II,Fuzz,Spaceman Pedals
Syntax Error,Glitch Engine,Alexander Pedals
Carcosa,Fuzz,DOD
Big Muff Pi (Black Russian),Fuzz,Electro-Harmonix
Octopuss,Passive Octave Up,Bigfoot Engineering
Small Stone,Phaser,Electro-Harmonix
Grand Orbiter,Phaser,Earthquaker Devices
Hummingbird,Tremolo,Earthquaker Devices
Echosystem,Digital Delay,Empress Effects
Freeze,Sound Retainer,Electro-Harmonix
Ditto,Looper,TC Electronic
Stamme[n],Glitch Delay,Drolo
Pumpkin Pi,Fuzz,Green Carrot Pedals
Data Corrupter,Modulated Monophonic Harmonizing PLL,Earthquaker Devices
Moisture Fuzz,Fuzz,Sehat Effectors
Hornskewer,Fuzz,Creepy Fingers
Velcrobot,Fuzz,Fuzzhugger Effects
FZ7,Fuzz,Ibanez
